name,cnpj,internationalCivilAviationOrganization,internationalAirTransportAssociation,country,focalName,phoneNumber,email
Delta Air Lines,-,DAL,DL,Estados Unidos da América,-,-,-
DHL Air,-,DHK,D0,Reino Unido,-,-,-
DHL Aviation,-,DHX,ES*,Barein,-,-,-
Eastern Airways,-,EZE,T3,Reino Unido,-,-,-
Egyptair,-,MSR,MS,Egito,-,-,-
EL AL,-,ELY,LY,Israel,-,-,-
Emirates,-,UAE,EK,Emirados Árabes Unidos,-,-,-
Ethiopian Airlines,-,ETH,ET,Etiópia,-,-,-
Etihad Airways,-,ETD,EY,Emirados Árabes Unidos,-,-,-
EuroAtlantic Airways,-,MMZ,YU,Portugal,-,-,-
European Air Transport,-,BCS,QY,Alemanha,-,-,-
Eurowings,-,EWG,EW,Alemanha,-,-,-
EVA Air,-,EVA,BR,Taiwan,-,-,-
Evelop Airlines,-,EVE,E9,Espanha,-,-,-
FedEx Express,-,FDX,FX,Estados Unidos da América,-,-,-
Fiji Airways,-,FJI,FJ,Fiji,-,-,-
Finnair,-,FIN,AY,Finlândia,-,-,-
flydubai,-,FDB,FZ,Emirados Árabes Unidos,-,-,-
FlyEgypt,-,FEG,FT,Egito,-,-,-
Flynas,-,KNE,XY,Arábia Saudita,-,-,-
Freebird Airlines,-,FHY,FH,Turquia,-,-,-
French Bee,-,FBU,BF,França,-,-,-
Fuzhou Airlines,-,FZA,FU,China,-,-,-
Garuda Indonesia,-,GIA,GA,Indonésia,-,-,-
Georgian Airways,-,TGZ,A9,Geórgia,-,-,-
German Airways,-,GER,ZQ,Alemanha,-,-,-
GOL Linhas Aereas,-,GLO,G3,Brasil,-,-,-
Gulf Air,-,GFA,GF,Barein,-,-,-
GX Airlines,-,CBG,GX,China,-,-,-
Hahn Air,-,HHN,HR*,Alemanha,-,-,-
Hainan Airlines,-,CHH,HU,China,-,-,-
Hawaiian Airlines,-,HAL,HA,Estados Unidos da América,-,-,-
Hebei Airlines,-,HBH,NS,China,-,-,-
Hi Fly,-,HFY,5K,Portugal,-,-,-
Hong Kong Air Cargo,-,HKC,RH,Hong Kong,-,-,-
Hong Kong Airlines,-,CRK,HX,Hong Kong,-,-,-
Hong Kong Express Airways,-,HKE,UO,Hong Kong,-,-,-
IBERIA,-,IBE,IB,Espanha,-,-,-
Icelandair,-,ICE,FI,Islândia,-,-,-
IndiGo,-,IGO,6E,Índia,-,-,-
Iran Air,-,IRA,IR,Irã,-,-,-
Iran Airtour Airline,-,IRB,B9,Irã,-,-,-
Iran Aseman Airlines,-,IRC,EP,Irã,-,-,-
Israir,-,ISR,6H,Israel,-,-,-
ITA,-,,AZ,Itália,-,-,-
Japan Airlines,-,JAL,JL,Japão,-,-,-
Japan Transocean Air,-,JTA,NU,Japão,-,-,-
Jazeera Airways,-,JZR,J9,Kuwait,-,-,-
Jeju Air,-,JJA,7C,República da Coreia,-,-,-
JetBlue,-,JBU,B6,Estados Unidos da América,-,-,-
Jin Air,-,JNA,LJ,República da Coreia,-,-,-
Jordan Aviation,-,JAV,R5,Jordânia,-,-,-
Juneyao Airlines,-,DKH,HO,China,-,-,-
Kam Air,-,KMF,RQ*,Afeganistão,-,-,-
Kenya Airways,-,KQA,KQ,Quênia,-,-,-
KLM,-,KLM,KL,Holanda,-,-,-
Korean Air,-,KAL,KE,República da Coreia,-,-,-
Kunming Airlines,-,KNA,KY,China,-,-,-
Kuwait Airways,-,KAC,KU,Kuwait,-,-,-
LAM,-,LAM,TM,Moçambique,-,-,-
Lao Airlines,-,LAO,QV,Laos,-,-,-
LATAM Airlines Brasil,-,TAM,JJ,Brasil,-,-,-
LATAM Airlines Colombia,-,ARE,4C,Colômbia,-,-,-
LATAM Airlines Ecuador,-,LNE,XL,Equador,-,-,-
LATAM Airlines Group,-,LAN,LA,Chile,-,-,-
LATAM Airlines Paraguay,-,LAP,PZ,Paraguai,-,-,-
LATAM Airlines Peru,-,LPE,LP,Peru,-,-,-
LATAM Cargo Brasil,-,LTG,M3,Brasil,-,-,-
LATAM Cargo Chile,-,LCO,UC,Chile,-,-,-
Loong Air,-,CDC,GJ,China,-,-,-
LOT Polish Airlines,-,LOT,LO,Polônia,-,-,-
Lucky Air,-,LKE,8L,China,-,-,-
Lufthansa,-,DLH,LH,Alemanha,-,-,-
Lufthansa Cargo,-,GEC,LH,Alemanha,-,-,-
Lufthansa CityLine,-,CLH,CL,Alemanha,-,-,-
Luxair,-,LGL,LG,Luxemburgo,-,-,-
Mahan Air,-,IRM,W5,Irã,-,-,-
Malaysia Airlines,-,MAS,MH,Malásia,-,-,-
Malindo Air,-,MXD,OD,Malásia,-,-,-
Mandarin Airlines,-,MDA,AE,Taiwan,-,-,-
Martinair Cargo,-,MPH,MP,Holanda,-,-,-
MasAir,-,MAA,M7,México,-,-,-
Mauritania Airlines International,-,MAI,L6,Mauritânia,-,-,-
MEA,-,MEA,ME,Líbano,-,-,-
MIAT Mongolian Airlines,-,MGL,OM,Mongólia,-,-,-
MNG Airlines,-,MNB,MB,Turquia,-,-,-
Montenegro Airlines,-,MGX,YM,Montenegro,-,-,-
Myanmar Airways International,-,MMA,8M,Mianmar,-,-,-
National Airlines,-,NCR,N8,Estados Unidos da América,-,-,-
NCA Nippon Cargo Airlines,-,NCA,KZ,Japão,-,-,-
Neos,-,NOS,NO,Itália,-,-,-
Nesma Airlines,-,NMA,NE,Egito,-,-,-
Nile Air,-,NIA,NP,Egito,-,-,-
NordStar,-,TYA,Y7,Rússia (Federação Russa),-,-,-
Nordwind Airlines,-,NWS,N4,Rússia (Federação Russa),-,-,-
Nouvelair,-,LBT,BJ,Tunísia,-,-,-
Okay Airways,-,OKA,BK,China,-,-,-
Olympic Air,-,OAL,OA,Grécia,-,-,-
Oman Air,-,OMA,WY,Omã,-,-,-
Overland Airways,-,OLA,OF,Nigéria,-,-,-
Paranair,-,AZP,ZP,Paraguai,-,-,-
Pegas Fly,-,KAR,EO,Rússia (Federação Russa),-,-,-
Pegasus Airlines,-,PGT,PC,Turquia,-,-,-
PGA-Portugalia Airlines,-,PGA,NI,Portugal,-,-,-
Philippine Airlines,-,PAL,PR,Filipinas,-,-,-
PIA Pakistan International Airlines,-,PIA,PK,Paquistão,-,-,-
Polar Air Cargo,-,PAC,PO,Estados Unidos da América,-,-,-
Poste Air Cargo,-,MSA,M4,Itália,-,-,-
Precision Air,-,PRF,PW,Tanzânia,-,-,-
Privilege Style,-,PVG,P6,Espanha,-,-,-
Qantas,-,QFA,QF,Austrália,-,-,-
Qatar Airways,-,QTR,QR,Catar,-,-,-
Qazaq Air,-,QAZ,IQ,Cazaquistão,-,-,-
Ravn Alaska,-,ERH,7H,Estados Unidos da América,-,-,-
Rossiya Airlines,-,SDM,FV,Rússia (Federação Russa),-,-,-
Royal Air Maroc,-,RAM,AT,Marrocos,-,-,-
Royal Brunei,-,RBA,BI,Brunei,-,-,-
Royal Jordanian,-,RJA,RJ,Jordânia,-,-,-
Ruili Airlines,-,RLH,DR,China,-,-,-
RusLine,-,RLU,7R,Rússia (Federação Russa),-,-,-
RwandAir,-,RWD,WB,Ruanda,-,-,-
S7 Airlines,-,SBI,S7,Rússia (Federação Russa),-,-,-
Safair,-,SFR,FA*,África do Sul,-,-,-
SAS,-,SAS,SK,Suécia,-,-,-
SATA Air Acores,-,SAT,SP,Portugal,-,-,-
Saudi Arabian Airlines,-,SVA,SV,Arábia Saudita,-,-,-
SCAT Airlines,-,VSV,DV,Cazaquistão,-,-,-
SF Airlines,-,CSS,O3,China,-,-,-
Shandong Airlines,-,CDG,SC,China,-,-,-
Shanghai Airlines,-,CSH,FM,China,-,-,-
Shenzhen Airlines,-,CSZ,ZH,China,-,-,-
Sichuan Airlines,-,CSC,3U,China,-,-,-
Silk Way West Airlines,-,AZG,7L,Azerbaijão,-,-,-
Singapore Airlines,-,SIA,SQ,Singapura,-,-,-
SKY Airline,-,SKU,H2,Chile,-,-,-
Smartavia,-,AUL,5N,Rússia (Federação Russa),-,-,-
Solomon Airlines,-,SOL,IE,Ilhas Salomão,-,-,-
Somon Air,-,SMR,SZ,República do Tajiquistão,-,-,-
South African Airways,-,SAA,SA,África do Sul,-,-,-
SpiceJet,-,SEJ,SG,Índia,-,-,-
SriLankan Airlines,-,ALK,UL,Sri Lanka,-,-,-
SunExpress,-,SXS,XQ*,Turquia,-,-,-
Suparna Airlines,-,YZR,Y8,China,-,-,-
Surinam Airways,-,SLM,PY,Suriname,-,-,-
SWISS,-,SWR,LX,Suíça,-,-,-
Syrianair,-,SYR,RB,Síria,-,-,-
T'way Air,-,TWB,TW,República da Coreia,-,-,-
TAAG Angola Airlines,-,DTA,DT,Angola,-,-,-
TACA,-,TAI,TA,El Salvador,-,-,-
TAP Portugal,-,TAP,TP,Portugal,-,-,-
TAROM,-,ROT,RO,Romênia,-,-,-
Tassili Airlines,-,DTH,SF,Argélia,-,-,-
Thai Airways International,-,THA,TG,Tailândia,-,-,-
Thai Lion Air,-,TLM,SL,Tailândia,-,-,-
Thai Smile,-,THD,WE,Tailândia,-,-,-
Tianjin Airlines,-,GCR,GS,China,-,-,-
TUIfly,-,TUI,X3*,Alemanha,-,-,-
Tunisair,-,TAR,TU,Tunísia,-,-,-
Turkish Airlines,-,THY,TK,Turquia,-,-,-
Ukraine International Airlines,-,AUI,PS,Ucrânia,-,-,-
UNI AIR,-,UIA,B7,Taiwan,-,-,-
Vistara,-,VTI,UK,Índia,-,-,-
Volaris,-,VOI,Y4*,México,-,-,-
Volotea,-,VOE,V7,Espanha,-,-,-
Vueling,-,VLG,VY,Espanha,-,-,-
Wamos Air,-,PLM,EB,Espanha,-,-,-
West Air,-,CHB,PN,China,-,-,-
WestJet,-,WJA,WS,Canadá,-,-,-
White coloured by you,-,WHT,WI,Portugal,-,-,-
Wideroe,-,WIF,WF,Noruega,-,-,-
Xiamen Airlines,-,CXA,MF,China,-,-,-
YTO Cargo Airlines,-,HYT,YG,China,-,-,-
