name,cnpj,focalName,phoneNumber,email
Aena Brasil,-,-,-,-
Aeroportos Brasil Viracopos,-,-,-,-
BH Airport,-,-,-,-
CCR Aeroportos,-,-,-,-
Centro-Oeste Airports,-,-,-,-
Fraport,-,-,-,-
GRU Airport,-,-,-,-
Inframérica,-,-,-,-
RioGaleão,-,-,-,-
Sinart,-,-,-,-
SOCICAM,-,-,-,-
VINCI Airports,-,-,-,-
XP Infra,-,-,-,-
Zurich Airport,-,-,-,-
